post_id,author,date,reply_to_post_id,academic_year,instructor_names,course_content_type,course_role,prerequisites_mentioned,has_gamification,delivery_mode,attendance_required,participation_graded,assessment_types,has_exams,course_pacing,prior_knowledge_level,student_year,major_context,instructor_clarity,instructor_engagement,instructor_helpfulness,teaching_style,finals_weight_pct,progressive_scoring,su_consideration,consistent_effort_required,peer_support_culture,warns_plagiarism,exam_quality_concerns,overload_warning
5428458037,Clarence Chew,"Tuesday, June 22, 2021 11:02 AM",,AY20/21 Sem 2,"['Jonathan Chen', 'Eric Leow (There are many tutors', 'they tend to be previous CS1010S students.)', 'Prof Leong Wai Kay']",practical,,,True,,,True,"['exams', 'essays', 'assignments']",True,,,,,,,,hands_on,,,,,True,,,
4755083989,prawira satya darma,"Monday, January 13, 2020 11:52 AM",,AY19/20,['Professor Ben Leong'],practical,,,True,,,True,['exams'],True,fast,,,is,,,helpful,hands_on,,,,,True,,,
4530594353,Zrn,"Monday, July 8, 2019 1:55 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502528003,Bao Dinh,"Saturday, June 15, 2019 2:05 AM",,AY18/19 Sem 1,"['Prof Leong Wai Kay', 'Dr. Zhou Lifeng\nTopics']",theory,,,True,,,True,['exams'],True,,,,is,,,helpful,,,,,,,,True,
3851359972,Joyce Yeo,"Thursday, April 12, 2018 3:48 PM",,AY17/18 Sem 1,,practical,,,,,,,,,,none,,is,clear,,,lecture_based,,,,,,,,
3071909979,Xiaobbb,"Wednesday, December 28, 2016 12:47 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309629735,Yangshun,"Wednesday, May 17, 2017 10:03 AM",3071909979,,,,,,True,,,,,,,,,is,,,,,,,,,,,,
3296430420,Deryl Heng,"Tuesday, May 9, 2017 11:47 PM",3071909979,,,,,,,,,,,,,,,is,,,,,,,,,,,,
4992830237,Wuu Yyiizzhhoouu,"Wednesday, July 15, 2020 10:41 PM",4697480285,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994759892,TIger,"Friday, July 17, 2020 7:03 AM",4992830237,,,,,,,,,,,,,,,,,,,,,,,,,,,
4998499256,Wuu Yyiizzhhoouu,"Monday, July 20, 2020 1:20 PM",4994759892,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060465202,Yang Victoria,"Tuesday, December 20, 2016 3:04 PM",,,,practical,,,,,,,,,,,,,,,,,,,,,,,,
3296443326,Deryl Heng,"Tuesday, May 9, 2017 11:55 PM",3060465202,,,,,,,,,,,,,,,is,,,,,,,,,,,,
3491945879,Yang Victoria,"Tuesday, August 29, 2017 3:15 PM",3296443326,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296490987,Yangshun,"Wednesday, May 10, 2017 12:24 AM",3296443326,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709349298,TIger,"Monday, December 2, 2019 10:48 PM",3296490987,,,,,,,,,,,,,,,,,,,,,,,,,,,
